diarization,dilate_ms,scene,speaker,system,m,si_sdr,si_sdr_pooled,level_error_db,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,0.0,long_00000_5639-61-121,s1,no_recursion,3,-18.932007442300712,1.0720169446724197,8.87890537874053,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,no_recursion,3,-13.230134704373672,4.773397566479478,5.152057019570431,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,no_recursion,3,-17.916071627357862,2.224154405713956,6.15427660578365,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-18.932007442300712,1.0720169446724197,8.87890537874053,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.921323013663992,3.7780665044408406,9.977014732605253,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.38971807269753,-2.0703192211105286,16.46245005151544,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-18.932007442300712,1.0720169446724197,8.87890537874053,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.921323013663992,3.7780665044408406,9.977014732605253,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.38971807269753,-2.0703192211105286,16.46245005151544,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-18.932007442300712,1.0720169446724197,8.87890537874053,,,2,s1,3
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-14.312139895545716,4.432230352750347,4.579654601923393,,,2,s2,3
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-17.916071627357862,2.224154405713956,6.15427660578365,,,2,s3,3
real,0.0,long_00000_5639-61-121,s1,no_recursion,3,-17.66569132815926,1.4082322104708007,8.450444396929512,,,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,no_recursion,3,-22.253016956320444,1.005757512990712,2.1962626844693816,,,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,no_recursion,3,-14.195785097857936,3.0066700323355784,8.08044246619374,,,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-17.66569132815926,1.4082322104708007,8.450444396929512,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-12.758407658037882,1.4051851527441461,6.745063481420667,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.4241237573717,-1.7840113704751395,15.564336164170353,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-17.66569132815926,1.4082322104708007,8.450444396929512,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-12.758407658037882,1.4051851527441461,6.745063481420667,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.4241237573717,-1.7840113704751395,15.564336164170353,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-17.66569132815926,1.4082322104708007,8.450444396929512,,,2,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-22.655134326106715,1.479801597484346,2.054769539478293,,,2,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-14.195785097857936,3.0066700323355784,8.08044246619374,,,2,SPEAKER_00,3
real_index_order,0.0,long_00000_5639-61-121,s1,no_recursion,3,-17.66569132815926,1.4082322104708007,8.450444396929512,,,0,SPEAKER_01,3
real_index_order,0.0,long_00000_5639-61-121,s2,no_recursion,3,-22.253016956320444,1.005757512990712,2.1962626844693816,,,0,SPEAKER_02,3
real_index_order,0.0,long_00000_5639-61-121,s3,no_recursion,3,-14.195785097857936,3.0066700323355784,8.08044246619374,,,0,SPEAKER_00,3
real_index_order,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-17.66569132815926,1.4082322104708007,8.450444396929512,0,0,0,SPEAKER_01,3
real_index_order,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-12.758407658037882,1.4051851527441461,6.745063481420667,1,1,0,SPEAKER_02,3
real_index_order,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.4241237573717,-1.7840113704751395,15.564336164170353,2,2,0,SPEAKER_00,3
real_index_order,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-17.66569132815926,1.4082322104708007,8.450444396929512,0,0,0,SPEAKER_01,3
real_index_order,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-12.758407658037882,1.4051851527441461,6.745063481420667,1,1,0,SPEAKER_02,3
real_index_order,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.4241237573717,-1.7840113704751395,15.564336164170353,2,2,0,SPEAKER_00,3
real_index_order,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-17.66569132815926,1.4082322104708007,8.450444396929512,,,2,SPEAKER_01,3
real_index_order,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-22.655134326106715,1.479801597484346,2.054769539478293,,,2,SPEAKER_02,3
real_index_order,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-14.195785097857936,3.0066700323355784,8.08044246619374,,,2,SPEAKER_00,3
oracle,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,-13.025236254905167,7.692965484154213,11.477379939962496,,,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,-3.9544617068110464,7.8471108613147456,10.860770001826614,,,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,-21.803081156540255,1.8853302426722176,7.981876558716419,,,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-13.025236254905167,7.692965484154213,11.477379939962496,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-4.125262414330359,6.903411643834064,11.188419944112248,1,1,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-16.67787891934126,0.3582703440435264,20.676782064387325,2,2,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-13.025236254905167,7.692965484154213,11.477379939962496,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-4.125262414330359,6.903411643834064,11.188419944112248,1,1,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-16.67787891934126,0.3582703440435264,20.676782064387325,2,2,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-17.155498796323513,5.50476329502576,9.395842204579315,,,2,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-4.104154409172054,7.223022865266363,10.966359653243451,,,2,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-21.803081156540255,1.8853302426722176,7.981876558716419,,,2,s3,3
real,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,-22.25733768872617,3.0662392500023614,7.962282040045501,,,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,-5.683793327312937,4.703359635664176,9.471295635485465,,,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,-27.359137037299735,-1.6915376515909897,8.66535694252665,,,0,SPEAKER_01,3
real,0.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-17.28180570303023,-0.6116740375854473,11.745470827040121,1,1,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-5.683793327312937,4.703359635664176,9.471295635485465,0,0,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-18.67447523488312,-2.5374124990628015,21.822743274330797,2,2,0,SPEAKER_01,3
real,0.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-17.28180570303023,-0.6116740375854473,11.745470827040121,1,1,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-5.683793327312937,4.703359635664176,9.471295635485465,0,0,0,SPEAKER_00,3
